date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),realizedCap(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
10/1/2017,5393408389,1954883100,203523,72054319360,4341.05,1208210048,28376064830,1625,119.0534979,624785,1.10E+12,296932,259.5242913,0.0002616,118670148,130
10/2/2017,7085722429,2757369646,294852,72971377912,4395.81,1431730048,28529981667,1875,180.47324,815069,1.12E+12,463964,271.4472898,0.00033222,150225359,150
10/3/2017,5502221558,2384578475,281949,73191567362,4408.46,1288019968,28616600344,2287.5,152.5344188,785914,1.12E+12,440833,258.6080666,0.00030468,160282789,183
10/4/2017,4721678649,2266245593,232692,71719575370,4319.37,1116770048,28674146820,1675,136.732834,639802,1.12E+12,366423,334.0713062,0.0003277,112221565,134
10/5/2017,5756696356,2403649349,273118,70240118316,4229.88,1161769984,28874369762,1562.5,160.3442403,727434,1.12E+12,401676,261.5435475,0.000339,127254278,125
10/6/2017,4941275865,2160195233,283540,71819494347,4324.46,1069939968,28976331831,1987.5,149.0212022,819066,1.12E+12,457187,224.0115687,0.000327,146349291,159
10/7/2017,3833663482,1937705208,231068,72573592695,4369.35,906928000,29059379912,1975,108.2155643,670951,1.12E+12,376557,202.1297576,0.00030736,132168275,158
10/8/2017,4765572899,1797445619,238203,73585678040,4429.67,1313869952,29210481643,2275,111.7964751,689838,1.12E+12,370758,188.8251378,0.00027645,139124422,182
10/9/2017,10500282356,2720602902,296785,76665459928,4614.52,1968739968,29495972131,2012.5,149.3409866,800806,1.12E+12,429684,275.4819526,0.0002825,148367331,161
10/10/2017,7720480608,3023817779,302941,79361562675,4776.21,1597139968,29699893285,2000,167.2582099,826210,1.12E+12,462138,266.4760278,0.00031009,154283614,160
10/11/2017,7500621260,2427410057,292320,79586559188,4789.25,1222279936,29821047754,1737.5,148.1728918,780257,1.12E+12,453823,238.983575,0.00031809,141237215,139
10/12/2017,8328690405,2901748026,293011,80265866463,4829.58,2791610112,30146175589,1912.5,174.4145147,783622,1.12E+12,426771,356.5716585,0.00031796,149564077,153
10/13/2017,8710528466,3655007007,309683,90821715816,5464.16,3615480064,30591907153,1700,281.5345822,819164,1.12E+12,501228,389.5115528,0.0005404,139467331,136
10/14/2017,7436979779,2685783727,292999,93813031266,5643.53,1669030016,30816276732,1762.5,227.5956389,796789,1.12E+12,448376,227.2786104,0.0004959,144274223,141
