date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,activeAddresses,medianTxValue(USD),medianFee,paymentCount
10/1/2017,436003334.5,131169266,3096,0,0.021678,50068700,291.170785,5973,18065.29627,0.17107,1661
10/2/2017,1025157738,151391424.7,2943,596765346.8,0.024607,57641300,316.074603,5858,24206.76715,0.17107,1792
10/3/2017,604612406.4,125245327.8,1808,667797139.7,0.025757,16997800,182.280983,3701,21063.74372,0.17107,1018
10/4/2017,207884312.8,48658685.99,859,540954733,0.020864,9000050,59.948744,1769,16076.16386,0,335
10/5/2017,411326650.3,105546705.4,1193,569117180.4,0.021951,5562510,156.805239,2454,39520.61679,0.17107,882
10/6/2017,312314745.5,88156760.73,889,553779286.2,0.021359,7780710,114.499377,1844,67195.42439,0.17107,648
10/7/2017,185266331.5,52958699.34,671,477418796.7,0.018414,7411240,81.891164,1371,36179.10905,0.17107,460
10/8/2017,214142599.6,66264825.01,679,542632959.3,0.020929,7727460,90.981593,1406,54499.90772,0.17107,521
10/9/2017,163939625.7,57131563.06,680,527453167.7,0.020344,4663310,87.836065,1460,30458.83815,0.17107,492
10/10/2017,211980536.3,64279716.38,660,573307371.9,0.022112,2725600,80.536581,1376,46343.11693,0.17107,460
10/11/2017,147429298.9,61110954.77,557,556901110.3,0.02148,3606720,70.54622,1172,42745.99476,0.17107,399
10/12/2017,191961300.2,66928182.47,672,584346541.3,0.022538,8680640,86.246889,1411,46152.57265,0.17107,492
10/13/2017,243264095,90728018.36,782,675685385.3,0.026061,15613600,110.361223,1642,106924.7056,0.17107,625
10/14/2017,379080551.7,101997901,930,878302735.8,0.033876,27853200,142.220331,1944,699264.9618,0.171246,812
10/15/2017,280089467,86825379.13,726,852315171.3,0.032874,7104990,104.520862,1450,663027.8412,0.171246,593
10/16/2017,229827474.9,85276112.84,626,776235927.4,0.029939,6196030,93.112895,1311,569556.6993,0.171246,540
