date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,medianTxValue(USD),medianFee,averageDifficulty,paymentCount,blockSize,blockCount
10/1/2017,1427534571,452812541.3,283871,28619752597,301.55,306184992,15132.65625,358.6133294,125038,15.0775,0.00052952,2.87E+15,140609,62337326,2862
10/2/2017,2246460447,618604127.5,306095,28712379844,302.48,339443008,15089.21875,356.9305788,141142,18.32043623,0.000510074,2.86E+15,162201,60088903,2842
10/3/2017,6862782012,624533363.9,327906,28243047611,297.48,321680000,15178.4375,381.2463957,141951,16.34316833,0.000530658,2.84E+15,165204,59866739,2862
10/4/2017,4461723124,485628240.1,307399,27797990491,292.75,257906000,15318.4375,385.3871522,130082,16.58916764,0.000543125,2.90E+15,154060,58858940,2886
10/5/2017,2822916745,323388278.4,314808,27804873684,292.77,253747008,15477.03125,418.9830779,135769,14.6385,0.000489606,2.97E+15,156138,59840706,2946
10/6/2017,2843906828,390801225.4,319882,28034882208,295.15,318664000,15024.0625,437.2553311,133417,14.46760308,0.000590633,2.91E+15,158444,61677616,2848
10/7/2017,2365195120,301062068.1,291091,29345193755,308.89,342204992,15015.15625,316.2763451,128029,15.77231887,0.000505917,2.86E+15,151694,55983260,2848
10/8/2017,2733133215,404868854.3,296829,29555498406,311.06,293167008,15199.53125,357.3478003,129177,15.75420353,0.000508547,2.92E+15,147869,55131849,2879
10/9/2017,3318279368,543771227.9,328172,29333493363,308.67,559467008,15208.75,379.8447617,135660,6.1734,0.000525,2.93E+15,181336,56691093,2882
10/10/2017,3369423239,482258052.3,349605,28285911274,297.6,359705984,15484.375,417.7934975,154708,15.08017171,0.000481887,2.91E+15,188699,62493211,2915
10/11/2017,3036058717,444869428.4,344305,28630472484,301.18,264146000,15499.84375,938.4151008,156336,9.9901406,0.000507064,3.00E+15,191623,58432218,2915
10/12/2017,3427447939,579469209.7,363411,28855676367,303.5,527556992,15391.5625,421.9570344,154568,7.3978125,0.00051429,2.91E+15,191612,61275804,2899
10/13/2017,4458233763,879379767.8,379136,28915643520,304.08,1304359936,15433.4375,474.9040483,171227,29.86798053,0.000555746,3.03E+15,207120,63154808,2891
10/14/2017,3531949745,588370496,332169,32227275581,338.85,516561984,15321.5625,398.0496139,146063,18.77391654,0.000545939,2.92E+15,174770,57599755,2887
10/15/2017,3284888576,619039849,328921,32296953084,339.53,635406976,15577.03125,386.38893,140176,16.64634576,0.000511875,2.96E+15,173021,55607865,2925
10/16/2017,2607633881,425859291.2,408297,32035021227,336.71,692884992,16172.6875,337.1164751,144929,0,0.0004216,1.92E+15,168092,74203956,4554
10/17/2017,3932353138,839802225.3,505611,31734248140,333.48,509924000,20145,322.8472441,190126,0.064088186,0.00029372,1.43E+15,218963,87192710,6050
10/18/2017,4773993903,638146824,470449,30166457117,316.94,606113984,20379.65625,299.3709448,165859,0.031694,0.00031424,1.41E+15,199726,81248958,6221
10/19/2017,3997681050,408249799.3,494184,29944347702,314.54,349830016,20423.53125,283.9296249,157430,0,0.000235944,1.46E+15,190536,80998138,6241
10/20/2017,3614336570,485246458.2,546837,29332606724,308.05,396672992,20477.625,491.6724184,170756,0,0.000252,1.45E+15,195521,95137037,6237
10/21/2017,3262284920,400067607.9,462902,28912227855,303.57,408014016,20143.21875,230.0980114,161303,0,0.00021,1.47E+15,193385,74641698,6229
10/22/2017,2855073961,312614482.9,435493,28630624714,300.55,327387008,20382,196.1348006,187438,0.19872366,0.000168,1.48E+15,216273,68750015,6280
10/23/2017,3918052486,739905710.9,468168,28117872436,295.1,482336000,20472.65625,269.725566,167893,0.283296,0.000315,1.46E+15,212233,80224066,6254
10/24/2017,3814637885,637420060.7,492288,27363235719,287.12,684281024,20529.46875,357.0951441,170723,0.028712,0.000315,1.50E+15,207382,87134104,6248
10/25/2017,3159619909,459205483.9,460419,28448754585,298.44,325040000,20218.21875,290.6658815,154825,0,0.000216489,1.48E+15,185596,88605464,6176
10/26/2017,2988252152,412124928.6,466406,28413986062,298.02,270272992,20195.90625,275.041131,163206,0,0.000189,1.44E+15,193675,88766039,6157
10/27/2017,3150264533,373898443.5,486147,28276657471,296.51,257168992,20473.5,297.4555437,155328,0,0.000192012,1.45E+15,183703,92959000,6229
10/28/2017,3838503881,305916859.5,484554,28416724623,297.92,264424000,20442.75,241.1676281,146684,0,0.0001071,1.47E+15,176081,89339757,6240
10/29/2017,3491019195,383223585.8,494176,28275857817,296.38,551752000,20291.4375,242.5466925,154086,0,0.000123924,1.46E+15,178304,92119020,6194
10/30/2017,3392932111,492531753,532626,29083667334,304.78,331441984,20098.59375,295.6101972,166928,0,0.00020674,1.45E+15,197107,99874533,6072
10/31/2017,3642977412,444397846.7,519906,29337919659,307.38,369583008,20634.1875,330.6040312,183765,0,0.00031092,1.46E+15,211832,97917438,6275
11/1/2017,4399357650,555864923.4,527783,29189984956,305.76,553864000,20230.59375,370.4656949,203402,0.030576,0.000371944,1.51E+15,228677,96784912,6142
11/2/2017,4764090418,734645600.4,529277,27760545036,290.73,904900992,20296.78125,373.8648318,221244,1.017555,0.00042,1.44E+15,246776,96435646,6144
11/3/2017,3723895305,533844562.9,485790,27553649069,288.5,646339968,20309.4375,278.6957341,187278,0.000577,0.000275796,1.42E+15,208851,98276411,6208
11/4/2017,2655841445,357052987.1,398758,29181323294,305.48,416479008,20188.3125,212.0775251,151880,0,0.000199901,1.41E+15,162784,75320039,6196
11/5/2017,2457189527,344138557.8,417102,28668223805,300.04,337657984,20590.21875,199.7490405,151376,0,0.000164716,1.44E+15,160629,73321910,6299
11/6/2017,2994174134,592682045.8,511663,28329199382,296.43,579358976,20241.375,268.7983039,175324,0,8.54E-05,1.43E+15,194609,85520807,6199
11/7/2017,2541664037,607230942.7,470418,28539525476,298.57,540766016,20413.40625,315.0444979,176696,0,0.00021,1.41E+15,196102,88610422,6211
11/8/2017,3597724998,969059228.3,480413,28134554591,294.27,967955968,20254.78125,379.9288537,190604,1.084726303,0.000372456,1.45E+15,214024,88676286,6236
11/9/2017,5881488171,831838096.1,467172,29515079614,308.64,893249984,20310.46875,324.9137747,191220,2.3148,0.00042,1.42E+15,215720,86289173,6195
11/10/2017,4537277357,827589227.8,457427,30672006458,320.67,885985984,20526.84375,291.6887389,189376,6.4134,0.000357,1.43E+15,211634,84500680,6300
11/11/2017,3930290631,636674399.3,394378,28565963186,298.59,842300992,20419.78125,232.9537621,160812,1.19436,0.00042,1.44E+15,185614,79370301,6267
11/12/2017,5723133525,1135388838,434380,30112310691,314.69,1613479936,20211.84375,297.7995624,184565,25.0371219,0.00042,1.49E+15,227909,82639583,6245
11/13/2017,3666918841,816385077.9,443176,29384461123,307.02,1041889984,20421.1875,309.3854351,181734,8.322997658,0.00042,1.46E+15,218315,89907928,6225
11/14/2017,3684207913,842972567.4,475984,30323494599,316.76,1069680000,20048.15625,335.9795272,200517,9.81290804,0.00042,1.45E+15,230376,99374433,6122
11/15/2017,5819834806,824285611.3,540593,32359508340,337.96,722665984,20495.4375,412.6625504,223800,17.10495319,0.00042,1.42E+15,270345,102617919,6237
11/16/2017,5275605885,785075303.7,491482,31934140323,333.44,797254016,20221.40625,353.5070828,203310,3.180584128,0.00042,1.40E+15,231512,94022620,6154
11/17/2017,5237120387,729192747.9,508590,31627690638,330.17,621732992,20365.125,373.4867643,213856,13.78752648,0.0003792,1.40E+15,250188,95398947,6235
11/18/2017,4358502991,529030656.9,459679,31807621191,331.98,649638976,20331.9375,255.6096205,184533,3.3198,0.000315,1.39E+15,215827,90912694,6215
11/19/2017,4565692024,715317069.3,464563,33291573727,347.4,1181529984,20422.78125,282.2871076,190247,7.130355818,0.00042,1.40E+15,223836,91173879,6266
11/20/2017,6269857823,1302544848,530141,33940277137,354.09,807027008,20408.34375,371.5081441,220194,0.637362,0.00042,1.49E+15,236511,102852461,6176
