date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,activeAddresses
10/1/2017,33628228.44,16860,1706009552,34.12,72169504,0,8290
10/2/2017,32137854,25867,1785048585,35.7,116098000,0,11196
10/3/2017,33806473.1,20461,1832330980,36.65,74199600,0,8886
10/4/2017,21216943.74,18808,1689402404,33.79,60565900,0,8405
10/5/2017,23242929.67,19541,1560301795,31.21,66785000,2.00E-08,8827
10/6/2017,38016582.5,21728,1624883652,32.5,47267100,0,9540
10/7/2017,38614065.36,26878,1676958237,33.54,48058800,0.004,11083
10/8/2017,148335854,74440,1781761066,35.64,107725000,47.519,21606
10/9/2017,65526189.48,21436,1602066062,32.04,98290304,0.002,9553
10/10/2017,78865441.6,25502,1457415464,29.15,48223600,0.008,12921
10/11/2017,25849632,19876,1465053788,29.3,33627700,0.004,9654
10/12/2017,29803021.03,18953,1500494675,30.01,61080400,0,8956
10/13/2017,39463589.25,19517,1392575911,27.85,81365000,0,9045
10/14/2017,19097669.96,15089,1466005273,29.32,33551100,0,7061
10/15/2017,19233118.8,14096,1382589740,27.65,31189200,0,6650
10/16/2017,17145492.08,15750,1387873509,27.76,34713200,0,7493
10/17/2017,34117293,21560,1424941003,28.5,74210000,0.002,9683
10/18/2017,23675031.4,16555,1583053354,31.66,49659700,0,7767
10/19/2017,19696494.16,14501,1483020698,29.66,30401400,0,6979
10/20/2017,30983061.36,14540,1434087849,28.68,36933700,0.002,7346
10/21/2017,18581627.92,13418,1387810704,27.76,34058900,0,6413
10/22/2017,14073854.1,12224,1357561297,27.15,36184100,0,6005
10/23/2017,14358732.08,14144,1424556959,28.49,28154800,0,7118
10/24/2017,30626185.98,19889,1366968262,27.34,78225600,0,9604
10/25/2017,26592459.47,13777,1505684627,30.11,35558400,0,6935
10/26/2017,15446640.64,13393,1423874338,28.48,35987900,0,6669
10/27/2017,13741721.47,12430,1416322691,28.33,28919000,0.003,6417
10/28/2017,2477532039,12869,1443073865,28.86,25368200,0,6763
10/29/2017,14169921.6,13382,1768152853,27.2,29736500,0,6644
