date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,activeAddresses
10/1/2017,384.329734,158,229128193.3,0.013813,1534340,0.07483,159
10/2/2017,2744425.051,222,227204379.9,0.013697,2362700,0.08023,178
10/3/2017,302.2832663,304,214749999.8,0.012947,2577540,0.10168,205
10/4/2017,719.2849841,334,206836807.3,0.012469,1670080,0.07862,199
10/5/2017,21119.59359,248,197073659.3,0.011881,9616220,0.12314,214
10/6/2017,37111.80244,330,243117918.5,0.014657,24002100,0.16072,244
10/7/2017,11716.12845,225,305919164.1,0.018443,56853100,0.21698,226
10/8/2017,16385.38912,188,343208596,0.020691,23922100,0.16613,191
10/9/2017,23920.74765,223,311847085.5,0.0188,29343800,0.24015,214
10/10/2017,597.8683093,234,289293081.2,0.01744,11082800,0.30648,198
10/11/2017,6626.373519,318,313015260.2,0.01887,12189100,0.29832,218
10/12/2017,2810.462934,230,323425863.1,0.019498,14626800,0.65524,217
10/13/2017,1550.8377,211,292768637.9,0.01765,10486000,0.80837,185
10/14/2017,7285.674803,172,298854455.9,0.018017,5671720,0.02601,175
10/15/2017,1584.985011,181,286821542,0.017291,9059430,0.02762,182
10/16/2017,319442.6604,903,313991023.8,0.018929,291627008,0.14917,795
10/17/2017,128923.2209,742,605632313.3,0.036511,146372000,0.08283,714
10/18/2017,46174.34072,415,759881193.9,0.04581,66483500,0.0528,346
10/19/2017,46499.93692,160,583498532.9,0.035176,41683000,0.0427,138
10/20/2017,4127.316671,128,518293161,0.031246,35088200,0.03817,111
10/21/2017,31619.78844,132,453561852.3,0.027343,60801200,0.04194,117
10/22/2017,4803.545281,143,605247324.5,0.036487,56070400,0.05024,139
10/23/2017,20568.24681,183,517634682,0.031206,43494400,0.04154,153
10/24/2017,25019.8156,283,571719979.5,0.034466,73178896,0.04957,241
10/25/2017,3225.68971,149,604341353.2,0.036433,35434500,0.03352,131
10/26/2017,50415.85802,165,584661799.9,0.035246,23633200,0.037,124
10/27/2017,6557.440749,77,575262956.3,0.03468,15974900,0.02321,67
10/28/2017,29037.03428,137,568695340.6,0.034284,8887170,0.0306,102
