"date","txVolume","txCount","marketcap","price.USD.","exchangeVolume.USD.","medianTxValue.USD.","activeAddresses","paymentCount","blockCount","inbasket"
"10/1/2017",9187801.29,2278,273648821.2,0.721765,8938190,116.7109362,1404,2278,NA,0
"10/2/2017",9732838.239,2289,269982656.1,0.707986,8299880,108.0682018,1529,2289,NA,0
"10/3/2017",7797188.605,1795,250190804.5,0.652812,7114830,97.31189799,1305,1795,NA,0
"10/4/2017",6471493.981,1994,243402759.9,0.631988,5449300,80.55233237,1282,1994,NA,0
"10/5/2017",5466697.95,1688,232125483.5,0.599336,8038660,132.9210078,1174,1688,NA,0
"10/6/2017",5046469.056,1901,236161814.5,0.606706,6785670,67.76420655,1218,1901,NA,1
"10/7/2017",4707603.15,1850,234581422.1,0.599816,6250760,94.0230395,1195,1850,NA,0
"10/8/2017",6183728.365,1793,230856296.5,0.587396,5854700,188.8543692,1335,1793,NA,0
"10/9/2017",7217093.536,2240,238412389.1,0.603543,6657950,109.8611506,1492,2240,NA,1
"10/10/2017",5491937.175,2084,221244923.5,0.557554,7701180,98.86674634,1495,2084,NA,0
"10/11/2017",11510904.49,2214,221869145.7,0.556461,8705650,140.6314839,1490,2214,NA,0
"10/12/2017",7197768.178,2442,244519498.6,0.610294,8681880,183.0271706,1739,2442,NA,1
"10/13/2017",7793926.175,2297,238184840.9,0.591619,8587370,177.4857,1824,2297,NA,0
"10/14/2017",7626053.393,2194,237387653.7,0.584829,6436220,106.3858362,1499,2194,NA,0
"10/15/2017",5019206.44,2040,237694046.1,0.58344,6573060,115.316916,1413,2040,NA,0
"10/16/2017",5102915.337,2187,234159429.2,0.571853,6005900,85.77795,1501,2187,NA,0
"10/17/2017",8857903.54,2464,231765876.3,0.562389,6374050,61.18978825,1571,2464,NA,0
"10/18/2017",5599113.993,1658,229180716.7,0.554269,7320330,154.5836225,1357,1658,NA,0
"10/19/2017",6411524.831,2342,227089875.1,0.545624,8084770,191.2458498,1686,2342,NA,0
"10/20/2017",7258751.627,2137,237084809.6,0.566626,6150650,113.3252,1468,2137,NA,1
"10/21/2017",5154074.161,2150,226891895.1,0.540259,7066060,200.7119242,1537,2150,NA,0
"10/22/2017",4982556.827,2170,222077526.6,0.526479,5538990,114.7900672,1455,2170,NA,0
"10/23/2017",5891267.765,2195,219400128.1,0.517658,6162350,144.5074206,1556,2195,NA,0
"10/24/2017",4654167.15,2205,209723986.2,0.49279,7089410,147.837,1608,2205,NA,0
"10/25/2017",4571744.635,1915,220269108.7,0.514902,5046620,145.8930924,1381,1915,NA,1
"10/26/2017",11170573.87,2356,216874388.9,0.50434,5314240,55.90819681,1429,2356,NA,0
"10/27/2017",3457809.45,1900,223814358.6,0.518989,4730120,116.385598,1330,1900,NA,1
"10/28/2017",5360674.559,2048,226306102.9,0.522242,5960600,144.5708976,1432,2048,NA,1
"10/29/2017",10985541.55,3459,233965782.3,0.536399,19902600,265.3883889,2403,3459,NA,1
"10/30/2017",10983533.19,4297,292525859.4,0.667644,20481800,227.4156366,3193,4297,NA,1
"10/31/2017",10026050.59,3336,313596030,0.712702,16200000,233.2699314,2343,3336,NA,1
"11/1/2017",26875146.38,7755,345759071.4,0.785862,74917400,245.1689956,5227,7755,NA,1
"11/2/2017",34762487.1,9482,464728950,1.05,68358600,245.7340212,6397,9482,NA,1
"11/3/2017",30530374.1,8829,500301732.2,1.12,59247900,223.1424739,6002,8829,NA,1
"11/4/2017",18722511.85,5944,537897997.5,1.2,37546000,238.8,3894,5944,NA,1
"11/5/2017",17324010.01,4719,501098702.4,1.11,32996400,222.999,3147,4719,NA,0
"11/6/2017",18562643.54,5190,485483418.8,1.07,26059800,271.1657597,3331,5190,NA,0
"11/7/2017",20339233.27,3908,422514025.5,0.921145,16941200,228.8221361,2742,3908,NA,0
"11/8/2017",16766603.41,4540,439157885.8,0.95102,37971000,299.3147622,3254,4540,NA,1
"11/9/2017",16862216.28,5079,523100917.7,1.13,24725800,168.758268,3346,5079,NA,1
"11/10/2017",17194323.09,3797,548607358.5,1.18,23024200,351.64,2962,3797,NA,1
"11/11/2017",16580673.69,3602,482723277.1,1.03,27539300,334.9354224,2629,3602,NA,0
"11/12/2017",19473111.87,6278,545824716.4,1.16,29229800,294.7743807,4759,6278,NA,1
"11/13/2017",21910648.75,3373,512496378.3,1.09,20848600,492.0914,2743,3373,NA,0
"11/14/2017",42562641.36,8107,559844510.7,1.18,107326000,544.2162392,6136,8107,NA,1
"11/15/2017",47072672.54,8873,803101369.3,1.68,64150700,406.2239998,6722,8873,NA,1
"11/16/2017",39792065.62,9642,802011091.2,1.67,64675200,498.328,8073,9642,NA,0
"11/17/2017",50636969.54,8193,800484890.8,1.66,50782500,498,7187,8193,NA,0
"11/18/2017",37120478.37,6359,842218675.9,1.74,52951400,348,4667,6359,NA,1
"11/19/2017",35159489.85,6645,934867602.4,1.92,55081600,362.5930322,5088,6645,NA,1
"11/20/2017",39144610.58,7123,925504520.8,1.89,55477200,378,5375,7123,NA,0
"11/21/2017",62773249.21,7297,983537027.4,2,56022900,514.4081278,5516,7297,NA,1
"11/22/2017",41516143.8,6121,938644039.4,1.91,44297600,404.2488055,4621,6121,NA,0
"11/23/2017",41359969.01,7994,935524485,1.89,42235000,808.1419815,6906,7994,NA,0
"11/24/2017",32640814.49,4532,940325844,1.89,44111800,718.692345,3613,4532,NA,0
"11/25/2017",112743331.1,7604,939234560.3,1.88,48591800,910.760644,5779,7604,NA,0
"11/26/2017",81696776.9,9305,1024468704,2.05,116846000,633.8395,7732,9305,NA,1
"11/27/2017",63188616.95,10370,1237364387,2.46,126962000,430.8684949,8561,10370,NA,1
"11/28/2017",180023449.4,12577,1443146948,2.86,98904096,560.56,9666,12577,NA,1
"11/29/2017",88233196.87,10986,1416747933,2.79,133125000,557.163,8533,10986,NA,0
"11/30/2017",125375374.7,10537,1409297385,2.76,92059600,874.92,7977,10537,NA,0
"12/1/2017",152080709.6,9876,1449493390,2.83,74402000,849.0461224,6953,9876,NA,1
"12/2/2017",112499465.9,12175,1664796974,3.24,163479008,710.4672,9293,12175,NA,1
"12/3/2017",136442394.5,12710,2032386441,3.94,132280000,592.0966675,9879,12710,NA,1
"12/4/2017",91096775.75,9272,1874085053,3.61,163900000,714.4749125,7433,9272,NA,0
"12/5/2017",79892068.97,6045,2109014964,4.06,181418000,1624,5230,6045,NA,1
"12/6/2017",94572240.92,7239,2226816822,4.27,200252992,1061.13343,6137,7239,NA,1
"12/7/2017",70673436.03,4951,2373610086,4.52,183666000,1134.017602,4419,4951,NA,1
"12/8/2017",128796198.2,7063,2101547767,3.99,149508000,1126.431253,5989,7063,NA,0
"12/9/2017",241478642,13820,2263704116,4.28,133142000,3296.595563,12328,13820,NA,1
"12/10/2017",99966861.83,8142,2160678222,4.07,98890000,1083.422221,7097,8142,NA,0
"12/11/2017",92470408.51,6971,2010133339,3.77,153155008,1068.795,5904,6971,NA,0
