"date","txVolume","adjustedTxVolume.USD.","txCount","marketcap","price.USD.","exchangeVolume.USD.","realizedCap.USD.","generatedCoins","fees","activeAddresses","averageDifficulty","paymentCount","medianTxValue.USD.","medianFee","blockSize","blockCount","inbasket"
"10/1/2017",444152696.8,245986587.3,17501,2932991749,55.14,100183000,2084104249,15725,31.46515158,55682,904453.1472,41776,193.0916087,0.000446,9860276,629,0
"10/2/2017",414648188,153561946.7,20685,2902017485,54.55,95474600,2083231418,14750,32.3544002,61972,904453.1472,45789,232.2414515,0.000373,10291063,590,0
"10/3/2017",543993774.3,137574674.5,19392,2841285034,53.39,88516096,2081581820,14700,29.12156973,58383,963023.2906,43138,209.3141677,0.000346,9903762,588,0
"10/4/2017",376362351.2,126798431.1,18975,2783005009,52.28,77473400,2082591984,15275,27.60914064,58517,964767.0601,45145,182.8677548,0.000346,9972335,611,0
"10/5/2017",237602059.3,108692432.6,19455,2736864554,51.4,69594400,2082089256,13725,27.03660608,61042,964767.0601,44333,159.297908,0.000346,10641999,549,0
"10/6/2017",157418126.9,71560463,20561,2750428226,51.64,59355900,2082711284,14575,27.67239589,62601,971505.2173,46527,123.0067077,0.000373,11085717,583,1
"10/7/2017",126786051.5,56657888.05,18558,2778014523,52.14,51786200,2083455576,14400,26.36576941,58662,977949.428,44255,89.59795632,0.000452,10089570,576,1
"10/8/2017",237606421.5,84211390.91,19846,2797360841,52.49,100841000,2084005790,14775,28.63091355,61632,977949.428,46482,129.2524352,0.00051783,10492617,591,1
"10/9/2017",442071451.3,139338450.7,23158,2829646134,53.08,152366000,2082268004,14175,33.09726436,69479,977915.7188,48655,285.6775138,0.000374,12080832,567,1
"10/10/2017",299220008,105834935.2,21902,2673741424,50.15,90415504,2080205208,13100,30.61008255,66560,976754.8583,48293,212.9403604,0.000346,11098820,524,0
"10/11/2017",205953787.6,76240987.55,20247,2706443575,50.75,57390100,2082521427,13650,27.4349881,61572,976754.8583,47485,158.7536404,0.0002626,10496907,546,1
"10/12/2017",468676865.3,172115663.7,28669,2714639390,50.89,341368992,2094960684,13825,45.78326481,76277,976754.8583,56663,288.5198347,0.00045,14432566,553,1
"10/13/2017",517527547.1,256749155.2,31319,3230878048,60.55,357124000,2098814485,14400,50.05892393,82311,956999.5967,58968,302.7363157,0.000374,17440431,576,1
"10/14/2017",351605397.2,170034568.2,24482,3171053266,59.41,313105984,2108721368,15850,35.69351809,72925,919573.7996,56859,226.4776559,0.00045,12748977,634,0
"10/15/2017",362214475,165424036.4,23927,3423919105,64.13,453940000,2116119771,16750,38.79400189,70981,919573.7996,52052,250.0925066,0.00045371,13693991,670,1
"10/16/2017",260162387.7,105320709.1,27154,3510047872,65.72,200428000,2120135191,15100,38.92082551,73995,936929.0766,55420,229.8491937,0.00045,14583390,604,1
"10/17/2017",312909798.8,138601389.2,27196,3454715649,64.67,205363008,2121586023,14025,40.45442159,74972,1034767.066,57065,229.7702802,0.000328,15169608,561,0
"10/18/2017",315922690.1,164443818.5,26667,3184314482,59.59,283868992,2131782462,14850,38.66474765,78757,1034767.066,54226,240.5266328,0.00026159,14329568,594,0
"10/19/2017",239394586,87350906.8,25230,3250851136,60.82,160943008,2133203465,14225,35.92169129,71386,1034767.066,47316,235.1637109,0.000226,12285867,569,1
"10/20/2017",219952163.3,91317558.84,25409,3197775389,59.81,150542000,2135237893,14425,34.1227325,70237,1021509.504,48067,269.3686804,0.000226,12168828,577,0
"10/21/2017",272167634.9,74802072.62,24063,3224915538,60.3,139503008,2136393457,14475,36.34813825,74924,1014422.349,49528,233.1176304,0.0002626,12613846,579,1
"10/22/2017",209622090.5,93509033.21,21477,3116919404,58.27,96781400,2135202154,13475,31.91684441,66853,1014422.349,44928,174.2028266,3e-04,10967134,539,0
"10/23/2017",349719741.2,127928506.9,29762,3037676253,56.77,177315008,2133968821,15300,46.94730982,83508,1015334.647,51929,248.6188116,0.0002626,14739477,612,0
