"date","txVolume","adjustedTxVolume.USD.","txCount","marketcap","price.USD.","exchangeVolume.USD.","realizedCap.USD.","generatedCoins","fees","activeAddresses","averageDifficulty","paymentCount","medianTxValue.USD.","medianFee","blockSize","blockCount","inbasket"
"10/1/2017",1046165.47,923714.9403,2179,93220582.91,0.006952,2119090,19677981.19,3996720,1066.640555,4862,81344.66541,5451,23.45696998,0.1,7778985,2562,0
"10/2/2017",11778633.63,3616875.373,3571,95469392.84,0.00712,8516350,20312522.97,3999840,2143.813144,8420,92002.22782,7381,54.65720579,0.1,10919299,2564,1
"10/3/2017",4114058.807,1878759.063,2230,96390314.43,0.007188,2317670,20292594.89,4057560,608.406744,3831,88120.34287,6492,22.4258412,0.1,2315663,2601,1
"10/4/2017",3637121.874,1605166.932,2266,90776125.24,0.00677,1636230,20428205.77,3987360,991.904122,4180,80384.9677,6835,21.12536836,0.1,2612255,2556,0
"10/5/2017",2368350.87,796721.0018,1954,85208958.62,0.006354,1451030,20510530.01,3987360,646.309754,3261,84576.24218,6019,19.82448,0.1,2256200,2556,0
"10/6/2017",2011480.539,1008698.414,1927,83956706.29,0.006261,1983040,20547754.97,3996720,905.975963,3230,72219.06562,5630,19.5349461,0.1,2214462,2562,0
"10/7/2017",2056464.746,1107087.435,1999,89013048.43,0.006638,2094690,20570107.79,3995160,659.606352,3436,78314.4159,5315,20.7118876,0.1,2190126,2561,1
"10/8/2017",1796075.675,934149.8758,1984,86209011.1,0.006429,3011250,20504819.28,4059120,817.767032,3405,78090.55976,5524,23.58041478,0.1,2285484,2602,0
"10/9/2017",1748297.932,988206.3148,2261,70892889.61,0.005287,3109910,20557784.22,4021680,713.705982,3922,89333.49094,5759,20.00560233,0.1,2677159,2578,0
"10/10/2017",2684618.759,1555790.039,1967,79649936.84,0.005651,1513390,20723125.77,3970200,615.762427,3481,80274.65344,5336,20.614848,0.1,2196043,2545,1
"10/11/2017",1638448.716,679745.0624,1882,78056580.01,0.005538,1808680,20755057.52,4020120,610.378469,3077,75682.26583,5184,17.27917088,0.1,2169078,2577,0
"10/12/2017",2659056.142,1169665.413,1841,79717597.85,0.005652,2282270,20834185.11,3982680,522.261187,3008,72479.1682,5073,17.76214568,0.1,2074538,2553,1
"10/13/2017",1803942.439,839076.6935,2076,72342705.79,0.005128,2696760,20831016.95,3923400,551.002043,3576,64599.49909,5171,24.0000656,0.1,2307392,2515,0
"10/14/2017",1435133.533,1049570.563,1809,74121938.78,0.005252,1693140,20900077.01,4004520,367.403639,3024,55716.26394,4738,16.3867652,0.1,2013864,2567,1
"10/15/2017",1470631.111,946491.6919,1897,71144556.05,0.00504,3050630,20912741.06,3976440,548.894083,4482,61743.3447,4899,18.08340292,0.1,2263643,2549,0
"10/16/2017",1872054.803,1356712.189,1898,77133585.46,0.005463,1973510,20794517.25,3734640,1061.70183,3501,51782.90496,5283,18.16047655,0.1,2055961,2394,1
"10/17/2017",5509010.442,2004893.914,2021,72799509.21,0.005154,1735700,21342535.99,3973320,920.533676,3667,50364.40093,5561,24.07963866,0.1,2090767,2547,0
"10/18/2017",2023621.632,1285536.013,1657,68847542.78,0.004873,1718860,21543347.81,3809520,641.58547,2681,69179.09573,4815,15.2047346,0.1,1962928,2442,0
"10/19/2017",2318535.344,1240900.085,1834,71129939.13,0.005033,1339100,21689817.94,3864120,1046.14647,2956,55965.24797,4866,16.70375643,0.1,1960886,2477,1
"10/20/2017",1319024.73,792921.305,1831,69361181.22,0.004907,1796240,21657227.88,3918720,1132.282074,3030,59913.60634,4742,22.8882707,0.1,2012530,2512,0
"10/21/2017",1286530.099,619318.5949,1918,62910637.16,0.004449,1853300,21675089.88,3953040,859.365916,3214,55141.81609,5036,20.8217649,0.1,2099908,2534,0
"10/22/2017",530133.0449,380774.3417,3247,67989206.2,0.004807,1443660,21692530.49,3940560,1069.652055,4542,47772.96084,6202,9.2164611,0.1,2417595,2526,1
"10/23/2017",658665.2095,492174.8274,1793,66107756.45,0.004673,1534870,21695526.93,3965520,1028.612493,2907,52029.08324,4862,19.05921347,0.1,2102271,2542,0
"10/24/2017",2747759.999,1625996.314,2523,65495217.97,0.004628,7556820,21898948.35,3953040,1069.672136,4090,48830.24721,5868,26.7646496,0.1,2470971,2534,0
"10/25/2017",1108050.177,738386.3447,1988,82012076,0.005794,2534310,21945245.02,3956160,1087.186065,3272,52275.19234,5664,27.03182587,0.1,2106941,2536,1
"10/26/2017",761085.0436,512991.9255,1804,74796866.21,0.005282,1917420,21976050.88,3963960,990.272337,2917,46893.72746,5308,17.78583943,0.1,2202536,2541,0
"10/27/2017",1201359.968,1044189.396,1557,73384791.93,0.005181,1462990,22447000.19,3842280,968.222633,2555,49055.97062,4957,16.5776457,0.1,2061463,2463,0
"10/28/2017",1069836.14,935839.3612,1541,75936018.24,0.00536,1735710,22452568.68,3881280,712.662055,2596,48463.10236,4979,16.80711568,0.1,1891120,2488,1
