"date","txVolume","adjustedTxVolume.USD.","txCount","marketcap","price.USD.","exchangeVolume.USD.","realizedCap.USD.","generatedCoins","fees","activeAddresses","averageDifficulty","paymentCount","medianTxValue.USD.","medianFee","blockSize","blockCount","inbasket"
"10/1/2017",234150.1855,188514.6512,756,41030171.46,1.03,457073,20986737.25,29600,1.67450981,2483,26795.84781,1630,51.50075853,0.00038381,1734969,592,0
"10/2/2017",356919.6737,324765.2681,718,41971439.84,1.05,719340,21033917.97,28500,1.40501995,2471,27914.57654,1291,53.51211277,0.00053376,1453653,570,1
"10/3/2017",798992.4345,700576.5058,787,39665952.09,0.991218,624318,21255548.12,31200,1.61254403,2551,28352.67671,1340,53.82696901,0.00038332,1570717,624,0
"10/4/2017",666956.2426,536879.2716,1144,42008179.04,1.05,2310410,21401718.29,29700,3.15281196,3377,30956.81095,1800,113.3670636,0.00038255,2471277,594,1
"10/5/2017",632765.81,519253.1823,972,46180845.45,1.15,1401590,21526088.96,29900,1.88354581,2968,34672.28959,1768,83.04226817,0.0003826,1617812,598,1
"10/6/2017",1653187.456,1196169.892,1604,49147858.18,1.23,3158360,21919375.81,30300,3.91383908,5883,36169.8473,2375,103.68531,0.00038181,2842391,606,1
"10/7/2017",733483.7627,615624.5066,983,58067597.46,1.45,1942220,22067463.6,24750,1.7022797,3116,35629.37875,1330,72.49966422,0.000383,1497705,495,1
"10/8/2017",842243.5203,698289.4735,1110,52378144.91,1.3,1667970,22188592.73,29800,1.75215807,3379,33306.88537,1917,64.87837606,0.000373,1411860,596,0
"10/9/2017",2068310.085,1021270.241,1227,46292069.47,1.15,2279770,22260203.13,27150,1.97316038,3566,33497.79941,1930,78.24500975,0.000374,1582122,543,0
"10/10/2017",909807.9952,689089.1466,1124,44735489.3,1.11,2098980,22464533.94,29800,2.04757683,3437,33023.10039,1995,68.21518714,0.00038272,1503090,596,0
"10/11/2017",468954.6799,392895.2067,912,46802830.84,1.16,1790820,22611634.97,29600,1.60655801,3012,35584.90717,1436,57.99973108,0.00038367,1571470,592,1
"10/12/2017",1140798.026,938785.1687,999,51547479.8,1.28,2591240,22769671.97,28100,2.1014342,3277,34577.19461,1927,63.99970321,0.00038373,1801925,562,1
"10/13/2017",722041.2621,640141.4514,1076,48496666.23,1.2,1809290,22964539.88,26100,2.32412301,3424,32099.18608,1711,87.77346997,0.000521,1815616,522,0
"10/14/2017",608737.4682,484508.6789,1027,49291472.45,1.22,1673440,23136754.43,31050,1.92756866,3219,29719.6755,1904,70.12755986,0.00038433,1792952,621,1
"10/15/2017",751727.5279,580380.904,1241,54039061.53,1.34,1851910,23293104.86,29650,2.04664276,3682,34348.88022,2154,66.99968879,0.00038325,1629223,593,1
"10/16/2017",1957964.359,1352284.968,2086,56828092.92,1.41,5512990,23991364.74,30400,5.16884126,5574,40101.09455,2912,81.76590574,0.00038344,3576448,608,1
"10/17/2017",2519810.246,2116997.808,1813,70504592.46,1.74,2329770,24630296.08,28350,4.6169631,5085,39015.86486,2681,86.99999983,0.00053612,2794207,567,1
"10/18/2017",3471748.721,2825784.124,2017,67176038.75,1.66,2669740,25873115.47,29500,5.63495848,5850,39350.62358,3021,130.5984396,0.001,3136470,590,0
"10/19/2017",5243891.863,3793153.625,3308,71692106.84,1.77,9962830,27514694.14,29850,11.46478265,8561,46813.74212,3786,175.0553275,0.00083905,5705959,597,1
"10/20/2017",6725951.469,4303983.582,2303,85926060.45,2.12,4821000,28625094.12,28400,6.37413629,6532,45647.81819,3423,127.9594793,0.00061618,3592794,568,1
"10/21/2017",6827662.51,4285740.268,3953,80991122.58,2,18818000,31846375.22,31600,13.45898307,9808,56742.18805,4062,154.6261037,0.00053585,8513558,632,0
"10/22/2017",19380135.99,11913840.61,7745,111637827.5,2.75,74432200,40678021.95,31600,20.63036052,21935,72766.95043,8572,225.5304677,0.00038387,10627875,632,1
"10/23/2017",10727588.96,7043890.968,4795,136713569.7,3.37,28920900,43147120.38,28200,29.65917661,30414,73801.30482,6260,184.8384694,0.000373,12288448,564,1
"10/24/2017",10066518.09,6828170.499,3810,122322003.4,3.01,23703700,46934537.84,28500,29.42185968,14133,75725.01461,5355,216.5888416,0.00038296,10090591,570,0
"10/25/2017",4809964.506,3892991.258,2554,133322713.4,3.28,11107400,47941526.18,26650,18.12850481,9007,74575.64421,3370,164.0087999,0.00038432,6589631,533,1
"10/26/2017",6126571.233,5110065.873,2797,124943459,3.07,13143100,51530399.91,31300,15.45349097,7987,72970.55537,4142,197.1425228,0.00038445,5528135,626,0
"10/27/2017",10310390.97,8721388.901,3625,149751339.5,3.68,21945600,58681438.13,30400,18.05752904,9202,81809.51426,4774,183.1941776,0.0002327,7261779,608,1
"10/28/2017",18003422.21,12048489.5,5340,166899242.2,4.1,51550700,72553982.59,30850,13.04529098,12689,98273.84973,6835,278.0064539,0.00038427,6279548,617,1
"10/29/2017",14171124.07,8403499.867,4668,207862319.3,5.1,35122600,74088578.63,25800,10.04844155,11132,95467.53199,6962,280.057725,0.00023323,5049369,516,1
"10/30/2017",8293612.818,5740857.9,4194,179438482.1,4.4,26571300,76414849.58,31750,10.71573827,9953,97100.8805,6262,214.6808705,0.00038493,5807334,635,0
"10/31/2017",28234558.24,14405109.39,4509,221628600.7,5.43,26259900,79211564.35,28500,9.26163056,10739,105470.9759,6385,282.3587728,0.00023364,4714146,570,1
"11/1/2017",18660641.45,11724895.82,4713,211682075.5,5.18,35813400,80072832.81,27900,10.11995477,11265,110947.3706,5391,369.917463,0.00038606,5195598,558,0
"11/2/2017",11688968.08,7041874.464,5081,166133114.5,4.07,37012900,80096958.58,28450,10.37378341,11900,87589.03726,6842,288.3908408,0.00038617,6492362,569,0
"11/3/2017",12245237.17,8740555.806,4716,138125625,3.38,38509400,80123139.74,27850,8.56564051,11052,70865.78062,5627,309.0209297,0.00038668,4911598,557,0
"11/4/2017",8721068.735,5022936.402,3372,163813427,4,32196500,80755249.09,28850,6.28535904,8462,85646.56388,4803,299.4343737,0.00038683,3607721,577,1
"11/5/2017",6152358.886,4929148.138,2706,160745918.9,3.92,13293900,80875232.77,28800,5.74827989,7341,81400.15834,4424,195.99412,0.00038613,3288066,576,0
"11/6/2017",4037506.321,3342077.156,2465,149471631.7,3.65,11673900,80826612.82,28600,5.7513965,6481,85455.52419,3778,167.6807023,0.000374,3650061,572,0
"11/7/2017",3674304.569,2685030.139,2558,149782921.7,3.65,8565110,81026632.35,27750,6.41093969,6952,79033.75817,4146,178.6960757,0.00038761,3607995,555,0
"11/8/2017",6836500.61,4562621.497,3788,146507791.3,3.57,36091000,82827121.82,30650,7.94689645,9153,80851.79421,4784,243.5391505,0.00038789,5057723,613,0
"11/9/2017",8582921.466,6119868.802,4087,189657864.1,4.62,25576900,84566931.75,28450,8.43072808,9979,94641.25171,5763,259.6092723,0.00038811,5476107,569,1
"11/10/2017",7389700.38,5025453.478,3101,196497831.4,4.78,18133700,85063885.2,28800,8.14181305,8082,93711.56997,4241,248.5588807,0.00038831,4842655,576,1
"11/11/2017",3908580.237,3178822.881,2228,169170979.3,4.11,12435700,85722518.7,28550,6.77460726,6607,93432.5058,2933,182.9301428,0.0004845,4107193,571,0
"11/12/2017",4335466.361,3518307.613,3001,178349427.7,4.33,12602700,85877350.1,26900,7.16487578,8203,87200.8174,3554,216.4989815,0.00038828,4312229,538,1
"11/13/2017",4268953.625,3360920.522,2569,156215674.1,3.79,21777600,86702134.39,29200,7.71340926,7147,82382.98636,3411,175.3591977,0.00038928,5266008,584,0
"11/14/2017",3710906.276,2885859.413,2020,184058611,4.46,6620560,87209272.2,29150,7.76579452,5971,88018.9878,2988,173.1129185,0.00038933,3440144,583,1
"11/15/2017",3282290.302,2623853.093,2033,179674791.1,4.36,10365300,87712371.24,26950,5.76108303,6280,84535.36514,3031,190.9664997,0.0005422,3150501,539,0
"11/16/2017",4129605.121,3290220.14,2014,181689974.2,4.4,9180750,87960450.25,28750,5.24053308,6208,82795.30775,2949,206.6059394,0.00038923,3587476,575,1
"11/17/2017",2649736.984,2294490.302,1976,174108866.8,4.22,6275620,88413321.11,28700,6.03185343,5895,80824.13114,2885,174.4268089,0.00043457,3677461,574,0
"11/18/2017",2443103.89,1975983.796,1911,172313847.2,4.17,8982810,88685428.54,28950,5.37404732,5950,78905.37666,2240,192.5532075,0.00069417,3690632,579,0
"11/19/2017",2802158.76,2423113.683,1755,178055619.7,4.3,6758010,89240740.12,28050,5.6101648,5871,80624.22309,2529,186.3181971,0.00069595,3560164,561,1
"11/20/2017",4680113.633,3439917.48,1959,175110356,4.23,6888960,89581512.14,28150,6.36160572,6016,82028.63842,2782,182.1190335,0.00069551,4247008,563,0
"11/21/2017",5271543.533,3776827.137,2138,166684479.1,4.02,6541270,89953702.1,28550,6.55144808,6261,77440.77045,3241,194.8123558,0.00054249,4223304,571,0
